land_id,crop_name,crop_area,season
A1,小麦,80.0,单季
A2,玉米,55.0,单季
A3,玉米,35.0,单季
A4,黄豆,72.0,单季
A5,绿豆,68.0,单季
A6,谷子,55.0,单季
B1,小麦,60.0,单季
B2,黑豆,46.0,单季
B3,红豆,40.0,单季
B4,绿豆,28.0,单季
B5,爬豆,25.0,单季
B6,谷子,86.0,单季
B7,小麦,55.0,单季
B8,谷子,44.0,单季
B9,高粱,50.0,单季
B10,黍子,25.0,单季
B11,黄豆,60.0,单季
B12,玉米,45.0,单季
B13,莜麦,35.0,单季
B14,大麦,20.0,单季
C1,荞麦,15.0,单季
C2,南瓜,13.0,单季
C3,黄豆,15.0,单季
C4,红薯,18.0,单季
C5,小麦,27.0,单季
C6,红豆,20.0,单季
D1,土豆,15.0,第一季
D1,白萝卜,15.0,第二季
D2,小青菜,10.0,第一季
D2,大白菜,10.0,第二季
D3,西红柿,14.0,第一季
D3,大白菜,14.0,第二季
D4,茄子,6.0,第一季
D4,大白菜,6.0,第二季
D5,豇豆,10.0,第一季
D5,白萝卜,10.0,第二季
D6,刀豆,12.0,第一季
D6,红萝卜,12.0,第二季
D7,水稻,22.0,单季
D8,水稻,20.0,单季
E1,刀豆,0.6,第一季
E1,榆黄菇,0.6,第二季
E2,青椒,0.6,第一季
E2,榆黄菇,0.6,第二季
E3,菜花,0.6,第一季
E3,榆黄菇,0.6,第二季
E4,包菜,0.6,第一季
E4,香菇,0.6,第二季
E5,小青菜,0.6,第一季
E5,香菇,0.6,第二季
E6,油麦菜,0.6,第一季
E6,香菇,0.6,第二季
E7,芸豆,0.6,第一季
E7,白灵菇,0.6,第二季
E8,芸豆,0.6,第一季
E8,白灵菇,0.6,第二季
E9,刀豆,0.6,第一季
E9,白灵菇,0.6,第二季
E10,豇豆,0.6,第一季
E10,羊肚菌,0.6,第二季
E11,豇豆,0.6,第一季
E11,羊肚菌,0.6,第二季
E12,茄子,0.6,第一季
E12,羊肚菌,0.6,第二季
E13,西红柿,0.6,第一季
E13,羊肚菌,0.6,第二季
E14,黄瓜,0.6,第一季
E14,羊肚菌,0.6,第二季
E15,生菜,0.3,第一季
E15,油麦菜,0.3,第一季
E15,羊肚菌,0.6,第二季
E16,辣椒,0.6,第一季
E16,羊肚菌,0.6,第二季
F1,空心菜,0.3,第一季
F1,黄心菜,0.3,第一季
F1,青椒,0.3,第二季
F1,西红柿,0.3,第二季
F2,菜花,0.3,第一季
F2,包菜,0.3,第一季
F2,茄子,0.3,第二季
F2,黄瓜,0.3,第二季
F3,豇豆,0.6,第一季
F3,小青菜,0.3,第二季
F3,生菜,0.3,第二季
F4,芸豆,0.6,第一季
F4,芹菜,0.3,第二季
F4,菠菜,0.3,第二季
